subject,language,abbreviation,category,sequence of presentation,action,verbs,playmobil elements,framesetter,topic,verb
1,D,10b,E,10,Seemann raucht,rauchen,"Seemann, Hund",1,2,3
1,D,3u,E,3,Auto f_hrt HŸgel herunter,fahren,"Auto, Wagen",2,1,3
1,D,6b,E,6,Kuh hŸpft,hŸpfen,"Kuh, Feuerwehrmann",2,1,3
1,D,4u,E,4,Ball liegt,liegen,"Ball, €rztin",1,2,3
1,D,2u,E,2,Auto hupt,hupen,"Auto, Hund",2,1,3
1,D,9b,E,9,Robbe liegt auf Felsen,liegen,"Robbe, Pferd",3,1,2
1,D,7b,E,7,B_uerin l_uft Weg entlang,laufen,"B_uerin, Kuh",3,1,2
1,D,6u,E,6,Ball hŸpft,hŸpfen,"Ball, Feuerwehrmann",3,1,2
1,D,3b,E,3,Pferd l_uft HŸgel herunter,laufen,"Pferd, Wagen",,1,2
1,D,1b,E,1,Bauer liegt auf dem Boden,liegen,"Bauer, Pferd",3,1,2
1,D,10u,E,10,Boot qualmt,qualmen,"Boot, Hund",2,1,3
1,D,5b,E,5,€rztin tanzt,tanzen,"€rztin, Wagen",3,1,2
1,D,9u,E,9,Ball liegt auf Felsen,liegen,"Ball, Pferd",3,1,2
1,D,7u,E,7,Reifen rollt Weg entlang,rollen,"Reifen, Kuh",2,1,3
1,D,4b,E,4,B_uerin sitzt,sitzen,"B_uerin, €rztin",3,1,2
1,D,8u,E,8,Boot sinkt,sinken,"Boot, Ball",3,1,2
1,D,2b,E,2,Kuh muht,muhen,"Kuh, Hund",3,1,2
1,D,5u,E,5,Auto wackelt,wackeln,"Auto, Wagen",3,1,2
1,D,8b,E,8,Robbe taucht ins Wasser,tauchen,"Robbe, Ball",1,1,2
1,D,1u,E,1,Ball liegt auf dem Boden.,liegen,"Ball, Pferd",3,1,2
2,D,10b,E,10,Seemann raucht,rauchen,"Seemann, Hund",2,1,3
2,D,3u,E,3,Auto f_hrt HŸgel herunter,fahren,"Auto, Wagen",2,1,3
2,D,6b,E,6,Kuh hŸpft,hŸpfen,"Kuh, Feuerwehrmann",3,1,2
2,D,4u,E,4,Ball liegt,liegen,"Ball, €rztin",3,1,2
2,D,2u,E,2,Auto hupt,hupen,"Auto, Hund",2,1,3
2,D,9b,E,9,Robbe liegt auf Felsen,liegen,"Robbe, Pferd",3,1,2
2,D,7b,E,7,B_uerin l_uft Weg entlang,laufen,"B_uerin, Kuh",2,1,3
