"","subject","language","abbreviation","framesetter","topic","verb"
"1","1_D","D","10b","1","2","3"
"2","1_D","D","3u","2","1","3"
"3","1_D","D","6b","2","1","3"
"4","1_D","D","4u","1","2","3"
"5","1_D","D","2u","2","1","3"
"6","1_D","D","9b","3","1","2"
"7","1_D","D","7b","3","1","2"
"8","1_D","D","6u","3","1","2"
"10","1_D","D","1b","3","1","2"
"11","1_D","D","10u","2","1","3"
"12","1_D","D","5b","3","1","2"
"13","1_D","D","9u","3","1","2"
"14","1_D","D","7u","2","1","3"
"15","1_D","D","4b","3","1","2"
"16","1_D","D","8u","3","1","2"
"17","1_D","D","2b","3","1","2"
"18","1_D","D","5u","3","1","2"
"19","1_D","D","8b","1","1","2"
"20","1_D","D","1u","3","1","2"
"21","2_D","D","10b","2","1","3"
"22","2_D","D","3u","2","1","3"
"23","2_D","D","6b","3","1","2"
"24","2_D","D","4u","3","1","2"
"25","2_D","D","2u","2","1","3"
"26","2_D","D","9b","3","1","2"
"27","2_D","D","7b","2","1","3"
"28","2_D","D","6u","3","1","2"
"29","2_D","D","3b","3","1","2"
"30","2_D","D","1b","3","1","2"
"31","2_D","D","10u","2","1","3"
"32","2_D","D","5b","3","1","2"
"33","2_D","D","9u","3","1","2"
"34","2_D","D","7u","3","1","2"
"35","2_D","D","4b","3","1","2"
"36","2_D","D","8u","3","1","2"
"37","2_D","D","2b","3","1","2"
"38","2_D","D","5u","3","1","2"
"39","2_D","D","8b","3","1","2"
"40","2_D","D","1u","3","1","2"
"41","3_D","D","10b","3","2","1"
"42","3_D","D","3u","3","1","2"
"43","3_D","D","6b","3","1","2"
"44","3_D","D","4u","3","1","2"
"45","3_D","D","2u","3","1","2"
"46","3_D","D","9b","3","1","2"
"47","3_D","D","7b","3","1","2"
"48","3_D","D","6u","3","1","2"
"49","3_D","D","3b","3","1","2"
"50","3_D","D","1b","3","1","2"
"51","3_D","D","10u","3","1","2"
"52","3_D","D","5b","3","1","2"
"54","3_D","D","7u","3","1","2"
"55","3_D","D","4b","3","1","2"
"56","3_D","D","8u","3","1","2"
"57","3_D","D","2b","3","1","2"
"58","3_D","D","5u","3","1","2"
"59","3_D","D","8b","3","1","2"
"60","3_D","D","1u","3","1","2"
"61","4_D","D","10b","1","2","3"
"62","4_D","D","3u","1","2","3"
"63","4_D","D","6b","1","2","3"
"64","4_D","D","4u","1","2","3"
"65","4_D","D","2u","1","2","3"
"66","4_D","D","9b","1","2","3"
"67","4_D","D","7b","1","2","3"
"68","4_D","D","6u","1","2","3"
"69","4_D","D","3b","1","2","3"
"70","4_D","D","1b","1","2","3"
"71","4_D","D","10u","1","2","3"
"72","4_D","D","5b","1","2","3"
"73","4_D","D","9u","1","2","3"
"74","4_D","D","7u","1","2","3"
"75","4_D","D","4b","1","2","3"
"76","4_D","D","8u","1","2","3"
"77","4_D","D","2b","1","2","3"
"78","4_D","D","5u","1","2","3"
"79","4_D","D","8b","1","2","3"
"80","4_D","D","1u","1","2","3"
"81","5_D","D","10b","3","1","2"
"82","5_D","D","3u","3","1","2"
"83","5_D","D","6b","3","1","2"
"84","5_D","D","4u","2","3","1"
"85","5_D","D","2u","3","2","1"
"86","5_D","D","9b","1","2","3"
"87","5_D","D","7b","3","1","2"
"88","5_D","D","6u","1","3","2"
"91","5_D","D","10u","3","1","2"
"92","5_D","D","5b","1","3","2"
"93","5_D","D","9u","1","3","2"
"95","5_D","D","4b","3","2","1"
"96","5_D","D","8u","3","2","1"
"97","5_D","D","2b","3","2","1"
"99","5_D","D","8b","2","3","1"
"100","5_D","D","1u","1","2","3"
"101","6_D","D","10b","1","2","3"
"102","6_D","D","3u","1","2","3"
"103","6_D","D","6b","1","3","2"
"104","6_D","D","4u","1","3","2"
"105","6_D","D","2u","1","2","3"
"106","6_D","D","9b","1","2","3"
"107","6_D","D","7b","1","2","3"
"108","6_D","D","6u","2","1","3"
"109","6_D","D","3b","1","2","3"
"110","6_D","D","1b","1","2","3"
"111","6_D","D","10u","1","3","2"
"112","6_D","D","5b","1","2","3"
"113","6_D","D","9u","1","3","2"
"114","6_D","D","7u","1","3","2"
"116","6_D","D","8u","1","3","2"
"117","6_D","D","2b","1","2","3"
"118","6_D","D","5u","1","3","2"
"119","6_D","D","8b","1","3","2"
"120","6_D","D","1u","1","3","2"
"121","7_D","D","10b","1","2","3"
"122","7_D","D","3u","1","2","3"
"123","7_D","D","6b","1","2","3"
"124","7_D","D","4u","1","2","3"
"125","7_D","D","2u","1","2","3"
"126","7_D","D","9b","1","2","3"
"127","7_D","D","7b","1","2","3"
"128","7_D","D","6u","1","2","3"
"129","7_D","D","3b","1","2","3"
