"","participant","language","item","category","order","framesetter","topic","verb","verbal_framesetter","verbal_topic","verbal_Verb","Forder_A","Vorder_A","Torder_A","Forder_V","Vorder_V","Torder_V","action_order","verbal_order"
"1","1_D","D","10b","E","1","1","2","3",1,3,2,"Ffirst","Vlast","Tmid","Ffirst","Vmid","Tlast","FTV","FVT"
"2","1_D","D","3u","E","3","2","1","3",3,1,2,"Fmid","Vlast","Tfirst","Flast","Vmid","Tfirst","TFV","VFT"
"3","1_D","D","6b","E","4","2","1","3",1,3,2,"Fmid","Vlast","Tfirst","Ffirst","Vmid","Tlast","TFV","FVT"
"4","1_D","D","4u","E","7","1","2","3",1,3,2,"Ffirst","Vlast","Tmid","Ffirst","Vmid","Tlast","FTV","FVT"
"5","1_D","D","2u","E","8","2","1","3",1,3,2,"Fmid","Vlast","Tfirst","Ffirst","Vmid","Tlast","TFV","FVT"
"6","1_D","D","9b","E","9","3","1","2",1,3,2,"Flast","Vmid","Tfirst","Ffirst","Vmid","Tlast","VFT","FVT"
"7","1_D","D","7b","E","11","3","1","2",1,3,2,"Flast","Vmid","Tfirst","Ffirst","Vmid","Tlast","VFT","FVT"
"8","1_D","D","6u","E","12","3","1","2",1,3,2,"Flast","Vmid","Tfirst","Ffirst","Vmid","Tlast","VFT","FVT"
"10","1_D","D","1b","E","16","3","1","2",1,3,2,"Flast","Vmid","Tfirst","Ffirst","Vmid","Tlast","VFT","FVT"
"11","1_D","D","10u","E","17","2","1","3",1,3,2,"Fmid","Vlast","Tfirst","Ffirst","Vmid","Tlast","TFV","FVT"
"12","1_D","D","5b","E","19","3","1","2",1,3,2,"Flast","Vmid","Tfirst","Ffirst","Vmid","Tlast","VFT","FVT"
"13","1_D","D","9u","E","20","3","1","2",1,3,2,"Flast","Vmid","Tfirst","Ffirst","Vmid","Tlast","VFT","FVT"
"14","1_D","D","7u","E","21","2","1","3",1,3,2,"Fmid","Vlast","Tfirst","Ffirst","Vmid","Tlast","TFV","FVT"
"15","1_D","D","4b","E","22","3","1","2",1,3,2,"Flast","Vmid","Tfirst","Ffirst","Vmid","Tlast","VFT","FVT"
"16","1_D","D","8u","E","24","3","1","2",1,3,2,"Flast","Vmid","Tfirst","Ffirst","Vmid","Tlast","VFT","FVT"
"17","1_D","D","2b","E","26","3","1","2",1,3,2,"Flast","Vmid","Tfirst","Ffirst","Vmid","Tlast","VFT","FVT"
"18","1_D","D","5u","E","27","3","1","2",1,3,2,"Flast","Vmid","Tfirst","Ffirst","Vmid","Tlast","VFT","FVT"
"20","1_D","D","1u","E","30","3","1","2",1,3,2,"Flast","Vmid","Tfirst","Ffirst","Vmid","Tlast","VFT","FVT"
"41","3_D","D","10b","E","1","3","2","1",3,1,2,"Flast","Vfirst","Tmid","Flast","Vmid","Tfirst","VTF","VFT"
"42","3_D","D","3u","E","3","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"43","3_D","D","6b","E","4","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"44","3_D","D","4u","E","7","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"45","3_D","D","2u","E","8","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"46","3_D","D","9b","E","9","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"47","3_D","D","7b","E","11","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"48","3_D","D","6u","E","12","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"49","3_D","D","3b","E","14","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"50","3_D","D","1b","E","16","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"51","3_D","D","10u","E","17","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
