subject,language,abbrevation,category,sequence of presentation,action,verbs,playmobil elements,framesetter,topic,verb,action_order,action_FTV,action_TVF,action_TFV,action_FVT,action_VTF,action_VFT,notes,oral text,oral_framesetter,oral_topic,oral_verb,oral_order,oral_FTV,oral_TVF,oral_TFV,oral_FVT,oral_VTF,oral_VFT,notes,MatchActionOral,,,,,,,,,
1,E,Tb,T,T,woman turns around,turn,"woman, dog",1,2,3,FTV,1,0,0,0,0,0,,At 11 the girl is spinning aroud,1,2,3,FTV,1,0,0,0,0,0,,1,,,,,,,,,
1,E,Tu,T,T,tire turns around,turn,"tire, dog",1,2,3,FTV,1,0,0,0,0,0,,At 11 the wheel is turning,1,2,3,FTV,1,0,0,0,0,0,,1,,,,,,,,,
1,E,10b,E,1,sailor smokes,smoke,"sailor, dog",1,2,3,FTV,1,0,0,0,0,0,,At 6 the sailor is smoking,1,2,3,FTV,1,0,0,0,0,0,,1,,,,,,,,,
1,E,,F,2,horse carries the ball,carry,"horse, farmer, seal",,1,2,,0,0,0,0,0,0,"horse carries ball, topic = horse",horse is biting a soccer ball,,1,2,,0,0,0,0,0,0,,,,,,,,,,,
1,E,3u,E,3,car drives down the hill,drive,"car, cart",1,2,3,FTV,1,0,0,0,0,0,,10 car is driving down a hill,1,2,3,FTV,1,0,0,0,0,0,,1,,,,,,,,,
1,E,6b,E,4,cow hops,hop,"cow, fireman",1,2,3,FTV,1,0,0,0,0,0,,At 3 the horse is hopping,1,2,3,FTV,1,0,0,0,0,0,,1,,,,,,,,,
1,E,,F,5,boat swims in the sea,swim,"sailor, boat",,1,2,,0,0,0,0,0,0,used „stand“,there is a lifeboat sitting in the ocean,,1,2,,0,0,0,0,0,0,,,,,,,,,,,
1,E,,F,6,farmer runs down the street,run,"farmer, horse, farmer",,1,2,,0,0,0,0,0,0,,a man is strolling through the grass,,1,2,,0,0,0,0,0,0,,,,,,,,,,,
1,E,4u,E,7,ball lies,lie,"ball, doctor",2,1,3,TFV,0,0,1,0,0,0,used „sit“,At 6 a soccerball is sitting on the groud,1,2,3,FTV,1,0,0,0,0,0,,0,,,,,,,,,
1,E,2u,E,8,car honks,honk,"car, dog",2,1,3,TFV,0,0,1,0,0,0,,a car is honking at 10,3,1,2,TVF,0,1,0,0,0,0,,0,,,,,,,,,
1,E,9b,E,9,seal lies on a rock,lie,"seal, horse",1,2,3,FTV,1,0,0,0,0,0,,At 6 a seal is sitting on a rock,1,2,3,FTV,1,0,0,0,0,0,,1,,,,,,,,,
1,E,,F,10,car shudders,shudder,car,,1,2,,0,0,0,0,0,0,,a car is shuddering,,1,2,,0,0,0,0,0,0,,,,,,,,,,,
1,E,7b,E,11,farmer runs across the meadow,run,"farmer, cow",1,2,3,FTV,1,0,0,0,0,0,,At 6 a woman is strolling down a path,1,2,3,FTV,1,0,0,0,0,0,,1,,,,,,,,,
1,E,6u,E,12,ball hops,hop,"ball, fireman",1,2,3,FTV,1,0,0,0,0,0,,At 3 a soccerball is bounding,1,2,3,FTV,1,0,0,0,0,0,,1,,,,,,,,,
1,E,,F,13,car pushes the cart,push,"doctor, ball, tire, car, cart",,1,2,,0,0,0,0,0,0,car=topic,a car is pushing a cart,,1,2,,0,0,0,0,0,0,,,,,,,,,,,
1,E,3b,E,14,horse runs down the hill,run,"horse, cart",1,2,3,FTV,1,0,0,0,0,0,,At 10 a clock a horse it trotting,1,2,3,FTV,1,0,0,0,0,0,,1,,,,,,,,,
1,E,,F,15,seal pushes the ball,push,"fireman, cow, ball, seal",,1,2,,0,0,0,0,0,0,seal=topic,seal is pushing a soccerball,,1,2,,0,0,0,0,0,0,,,,,,,,,,,
1,E,1b,E,16,farmer lies on the ground,lie,"farmer, horse",1,2,3,FTV,1,0,0,0,0,0,,At 3 a man is passed out,1,2,3,FTV,1,0,0,0,0,0,,1,,,,,,,,,
1,E,10u,E,17,boat smokes,smoke,"boat, dog",1,2,3,FTV,1,0,0,0,0,0,,At 6 a raft is smoking,1,2,3,FTV,1,0,0,0,0,0,,1,,,,,,,,,
1,E,,F,18,cow bites the farmer,bite,"dog, cow, farmer",,1,2,,0,0,0,0,0,0,cow=topic,a horse is biting a woman,,1,2,,0,0,0,0,0,0,,,,,,,,,,,
1,E,5b,E,19,doctor dances,dance,"doctor, cart",1,2,3,FTV,1,0,0,0,0,0,,At 3 a woman is dancing,1,2,3,FTV,1,0,0,0,0,0,,1,,,,,,,,,
