Proband - ohne Probanden 14 und 32 (= sehr häufig nicht alle Elemente dargestellt),Sprache,Sigle,Sequenz-Paar,belebt/unbelebt,"Kategorie - alle Training, Filler rausgenommen",Reihenfolge in Präsentation,Bild 1 Zeit,Bild 1 Handlung,Bild 2 Zeit,Bild 2 Handlung,Bild 3 Zeit,Bild 3 Handlung,Verben-deutsch,Verben-türkisch,Verben-englisch,Bild 3- Playmobil-Elemente,Bild 3 -Uhren,Antwort_Framesetter,Antwort_Topik,Antwort_Verb,mündlicher Text,mündlich_Framesetter,mündlich_Topik,mündlich_Verb,Anmerkungen mündlich,,,,,,,,
1,D,10b,10,b,E,1,"7:00 Uhr, rechts mittig",Seemann wartet im Hafen,"12:00 Uhr, rechts mittig",Seemann trägt Hund,"18:00 Uhr, rechts mittig",Seemann raucht,rauchen,sigara içmek,smoke,"Seemann, Hund","7:00, 12:00, 18:00",1,2,3,Um 6 Uhr raucht der Kapitän,1,3,2,,,,,,,,,
1,D,3u,3,u,E,3,"7:00 Uhr, links oben",Auto steht vor Einfahrt,"9:00 Uhr, links oben",Auto zieht Wagen,"10:00 Uhr, links oben",Auto fährt Hügel herunter,fahren,ilerlemek,drive,"Auto, Wagen","7:00, 9:00, 10:00",2,1,3,Das grüne Auto steht um 10 Uhr auf der Wiese,3,1,2,,,,,,,,,
1,D,6b,6,b,E,4,"9:00 Uhr, rechts unten",Kuh  läuft,"10:00 Uhr, rechts unten",Feuerwehrmann bespritzt Kuh,"12:15 Uhr, rechts unten",Kuh hüpft,hüpfen,zıplamak,hop,"Kuh, Feuerwehrmann","9:00, 10:00, 12:15",2,1,3,Um 4 nach 12 hüpft die Kuh,1,3,2,,,,,,,,,
1,D,4u,4,u,E,7,"9:00 Uhr, links mittig",Ball hüpft,"12 Uhr, links mittig",Ärztin beobachtet Ball,"18:00 Uhr, links mittig",Ball liegt,liegen,durmak,lie,"Ball, Ärztin","9:00, 12:00, 18:00",1,2,3,Um 6 Uhr ruht der Ball auf dem Boden,1,3,2,,,,,,,,,
1,D,2u,2,u,E,8,"7:00 Uhr, rechts mittig",Auto steht,"9:00 Uhr, rechts mittig",Hund verfolgt Auto,"10:00, rechts mittig",Auto hupt,hupen,kornak çalmak,honk,"Auto, Hund","7:00, 9:00, 10:00",2,1,3,Um 10 Uhr hupt das grüne Auto,1,3,2,,,,,,,,,
1,D,9b,9,b,E,9,"11:45 Uhr, oben mittig",Robbe treibt auf dem Wasser,"16:00 Uhr, oben mittig",Pferd trägt Robbe im Maul,"18:00 Uhr, oben mittig",Robbe liegt auf Felsen,liegen,yatmak,lie,"Robbe, Pferd","11:45, 16:00, 18:00",3,1,2,Um 6 Uhr sitzt die Robbe auf dem Stein,1,3,2,,,,,,,,,
1,D,7b,7,b,E,11,"12:00 Uhr, oben mittig",Bäuerin sitzt,"12:15 Uhr, oben mittig",Kuh beißt Bäuerin,"18:00 Uhr, oben mittig",Bäuerin läuft Weg entlang,laufen,yürümek,run,"Bäuerin, Kuh","12:00, 12:15, 18:00",3,1,2,Um 6 Uhr geht das Mädchen spazieren,1,3,2,,,,,,,,,
1,D,6u,6,u,E,12,"9:00 Uhr, rechts unten",Ball rollt,"10:00 Uhr, rechts unten",Feuerwehrmann bespritzt Ball,"12:15 Uhr, rechts unten",Ball hüpft,hüpfen,zıplamak,hop,"Ball, Feuerwehrmann","9:00, 10:00, 12:15",3,1,2,Um viertel nach 12 hüpft der Ball,1,3,2,,,,,,,,,
1,D,3b,3,b,E,14,"7:00 Uhr, links oben",Pferd steht vor Einfahrt,"9:00 Uhr, links oben",Pferd zieht Wagen,"10:00 Uhr, links oben",Pferd läuft Hügel herunter,laufen,ko_mak,run,"Pferd, Wagen","7:00, 9:00, 10:00",,1,2,Um 10 Uhr läuft das Pferd über den Rasen,1,3,2,,,,,,,,,
1,D,1b,1,b,E,16,"11:45 Uhr, unten mittig",Bauer läuft über eine Wiese,"12:00 Uhr, unten mittig",Pferd schubst Bauer,"12:15 Uhr,  unten mittig",Bauer liegt auf dem Boden,liegen,yatmak,lie,"Bauer, Pferd","11:45, 12:00, 12:15",3,1,2,Um viertel nach 12 liegt der Hirte auf dem Boden,1,3,2,,,,,,,,,
